"","rnum","X.1","Strike.ID","Date","Location","Area","Minimum.total.people.killed","Maximum.total.people.killed","Minimum.civilians.reported.killed","Maximum.civilians.reported.killed","Minimum.children.reported.killed","Maximum.children.reported.killed","Minimum.reported.injured","Maximum.reported.injured","Strike.link","X","Index","locs","lat","long","NAME_0","NAME_1","NAME_2"
"11",11,223,"Ob172","17/12/2010","Sandana","Khyber Agency",7,15,0,0,0,0,7,11,"http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob172","",223,"Sandana, Pakistan",33.9405,71.0498,"Pakistan","F.A.T.A.","F.A.T.A."
"12",12,224,"Ob173","17/12/2010","Nakai","Khyber Agency",11,15,0,0,0,0,2,2,"http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob173","",224,"Nakai, Pakistan",33.9405,71.0498,"Pakistan","F.A.T.A.","F.A.T.A."
"13",13,225,"Ob174","17/12/2010","Speen Drang","Khyber Agency",32,32,2,2,0,0,0,0,"http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob174","",225,"Speen Drang, Pakistan",33.9405,71.0498,"Pakistan","F.A.T.A.","F.A.T.A."
"14",14,399,"Ob348","11/10/2014","Tirah Valley","Khyber Agency",4,6,0,0,0,0,2,2,"http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob348","",399,"Tirah Valley, Pakistan",33.9405,71.0498,"Pakistan","F.A.T.A.","F.A.T.A."
"15",15,428,"T004","13/06/2017","Hangu district","Khyber Pakhtunkhwa province",1,3,0,0,0,0,0,3,"","",428,"Hangu district, Pakistan",33.527996,71.0575407,"Pakistan","N.W.F.P.","Kohat"
"16",16,381,"Ob330","21/11/2013","Tal, Hangu District","Khyber Pakhtunkhwa province",6,9,0,0,0,0,1,9,"http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob330","",381,"Tal, Hangu District, Pakistan",33.527996,71.0575407,"Pakistan","N.W.F.P.","Kohat"
"17",17,425,"T001","02/03/2017","Unknown","Kurram Agency",2,2,0,0,0,0,0,0,"","",425,"Unknown, Pakistan",33.49,69.58,NA,NA,NA
"18",18,55,"Ob4","16/02/2009","Sur Pul","Kurram Agency",18,31,0,0,0,0,3,7,"http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/#Ob4","",55,"Sur Pul, Pakistan",33.49,69.58,NA,NA,NA
"19",19,57,"Ob6","12/03/2009","Barjo","Kurram Agency",14,26,0,0,0,0,9,50,"http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/#Ob6","",57,"Barjo, Pakistan",33.49,69.58,NA,NA,NA
"20",20,162,"Ob111","27/08/2010","Shahidano","Kurram Agency",3,9,0,0,0,0,2,2,"http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob111","",162,"Shahidano, Pakistan",33.49,69.58,NA,NA,NA
"21",21,163,"Ob112","27/08/2010","Badshah Kot","Kurram Agency",0,0,0,0,0,0,0,0,"http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob112","",163,"Badshah Kot, Pakistan",33.49,69.58,NA,NA,NA
"22",22,164,"Ob113","27/08/2010","Taaloo Ganj","Kurram Agency",2,3,0,3,0,0,0,0,"http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob113","",164,"Taaloo Ganj, Pakistan",33.49,69.58,NA,NA,NA
"23",23,273,"Ob222","20/06/2011","Khardand","Kurram Agency",5,7,2,7,0,0,0,3,"http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob222","",273,"Khardand, Pakistan",33.49,69.58,NA,NA,NA
"24",24,274,"Ob223","20/06/2011","Zarakai","Kurram Agency",2,5,0,0,0,0,0,0,"http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob223","",274,"Zarakai, Pakistan",33.49,69.58,NA,NA,NA
"25",25,414,"Ob363","18/03/2015","Shabak","Kurram Agency",3,3,0,0,0,0,0,0,"http://www.thebureauinvestigates.com/2015/01/05/obama-2015-pakistan-drone-strikes/#Ob363","",414,"Shabak, Pakistan",33.49,69.58,NA,NA,NA
"26",26,423,"Ob372","22/02/2016","Shahidano Dhand, Lower Kurram","Kurram Agency",4,5,0,0,0,0,1,4,"https://www.thebureauinvestigates.com/2016/01/11/obama-2016-pakistan-drone-strikes/#Ob372","https://www.thebureauinvestigates.com/2016/01/11/obama-2016-pakistan-drone-strikes/#",423,"Shahidano Dhand, Lower Kurram, Pakistan",33.49,69.58,NA,NA,NA
"27",27,429,"T005","15/09/2017","Ghuz Ghari village","Kurram Agency",3,3,0,0,0,0,1,2,"","",429,"Ghuz Ghari village, Pakistan",33.49,69.58,NA,NA,NA
"28",28,139,"Ob88","26/04/2010","Khushali","North Waziristan",3,8,0,0,0,0,3,3,"http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob88","",139,"Khushali, Pakistan",24.9081218,67.1090595,"Pakistan","Sind","Karachi"
"29",29,150,"Ob99","26/06/2010","Khushali","North Waziristan",2,4,0,0,0,0,1,3,"http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob99","",150,"Khushali, Pakistan",24.9081218,67.1090595,"Pakistan","Sind","Karachi"
"30",30,186,"Ob135","27/09/2010","Khushali","North Waziristan",3,4,0,0,0,0,0,0,"http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob135","",186,"Khushali, Pakistan",24.9081218,67.1090595,"Pakistan","Sind","Karachi"
"31",31,218,"Ob167","06/12/2010","Khushali","North Waziristan",3,5,0,2,0,0,3,3,"http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob167","",218,"Khushali, Pakistan",24.9081218,67.1090595,"Pakistan","Sind","Karachi"
"32",32,291,"Ob240","23/09/2011","Khushali","North Waziristan",3,8,0,0,0,0,3,4,"http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob240","",291,"Khushali, Pakistan",24.9081218,67.1090595,"Pakistan","Sind","Karachi"
"33",33,132,"Ob81","23/03/2010","Machis","North Waziristan",6,6,0,0,0,0,3,3,"http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob81","",132,"Machis, Pakistan",24.8512851,67.2078371,"Pakistan","Sind","Karachi"
"34",34,208,"Ob157","07/11/2010","Ghulam Khan","North Waziristan",8,9,0,0,0,0,2,2,"http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob157","",208,"Ghulam Khan, Pakistan",28.1001276,68.3461181,"Pakistan","Sind","Larkana"
"35",35,210,"Ob159","11/11/2010","Ghulam Khan","North Waziristan",5,8,0,0,0,0,5,6,"http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob159","",210,"Ghulam Khan, Pakistan",28.1001276,68.3461181,"Pakistan","Sind","Larkana"
"36",36,212,"Ob161","16/11/2010","Ghulam Khan","North Waziristan",20,20,0,9,0,0,0,0,"http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob161","",212,"Ghulam Khan, Pakistan",28.1001276,68.3461181,"Pakistan","Sind","Larkana"
"37",37,228,"Ob177","28/12/2010","Ghulam Khan","North Waziristan",5,7,0,0,0,0,2,2,"http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob177","",228,"Ghulam Khan, Pakistan",28.1001276,68.3461181,"Pakistan","Sind","Larkana"
"38",38,229,"Ob178","28/12/2010","Ghulam Khan","North Waziristan",5,12,2,4,0,0,3,3,"http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob178","",229,"Ghulam Khan, Pakistan",28.1001276,68.3461181,"Pakistan","Sind","Larkana"
"39",39,230,"Ob179","28/12/2010","Ghulam Khan","North Waziristan",9,10,0,0,0,0,6,6,"http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob179","",230,"Ghulam Khan, Pakistan",28.1001276,68.3461181,"Pakistan","Sind","Larkana"
"40",40,231,"Ob180","31/12/2010","Ghulam Khan","North Waziristan",4,8,0,0,0,0,0,0,"http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob180","",231,"Ghulam Khan, Pakistan",28.1001276,68.3461181,"Pakistan","Sind","Larkana"
"41",41,30,"B30","03/10/2008","Datta Khel","North Waziristan",3,3,3,3,1,1,5,5,"http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B30","",30,"Datta Khel, Pakistan",32.9065015,69.7445791,"Pakistan","F.A.T.A.","F.A.T.A."
"42",42,31,"B31","03/10/2008","Datta Khel","North Waziristan",17,21,7,14,3,3,0,0,"http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B31","",31,"Datta Khel, Pakistan",32.9065015,69.7445791,"Pakistan","F.A.T.A.","F.A.T.A."
"43",43,62,"Ob11","04/04/2009","Datta Khel","North Waziristan",13,15,8,13,3,5,1,1,"http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/#Ob11","",62,"Datta Khel, Pakistan",32.9065015,69.7445791,"Pakistan","F.A.T.A.","F.A.T.A."
"44",44,99,"Ob48","17/12/2009","Datta Khel","North Waziristan",2,2,0,0,0,0,0,0,"http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/#Ob48","",99,"Datta Khel, Pakistan",32.9065015,69.7445791,"Pakistan","F.A.T.A.","F.A.T.A."
"45",45,128,"Ob77","16/03/2010","Datta Khel","North Waziristan",7,11,0,0,0,0,2,2,"http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob77","",128,"Datta Khel, Pakistan",32.9065015,69.7445791,"Pakistan","F.A.T.A.","F.A.T.A."
"46",46,141,"Ob90","09/05/2010","Datta Khel","North Waziristan",5,10,0,4,0,0,4,4,"http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob90","",141,"Datta Khel, Pakistan",32.9065015,69.7445791,"Pakistan","F.A.T.A.","F.A.T.A."
"47",47,142,"Ob91","11/05/2010","Datta Khel","North Waziristan",8,14,0,4,0,0,12,12,"http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob91","",142,"Datta Khel, Pakistan",32.9065015,69.7445791,"Pakistan","F.A.T.A.","F.A.T.A."
"48",48,166,"Ob115","03/09/2010","Datta Khel","North Waziristan",2,4,0,0,0,0,2,2,"http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob115","",166,"Datta Khel, Pakistan",32.9065015,69.7445791,"Pakistan","F.A.T.A.","F.A.T.A."
"49",49,167,"Ob116","04/09/2010","Datta Khel","North Waziristan",7,8,0,0,0,0,12,12,"http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob116","",167,"Datta Khel, Pakistan",32.9065015,69.7445791,"Pakistan","F.A.T.A.","F.A.T.A."
"50",50,182,"Ob131","25/09/2010","Datta Khel","North Waziristan",2,4,0,0,0,0,0,0,"http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob131","",182,"Datta Khel, Pakistan",32.9065015,69.7445791,"Pakistan","F.A.T.A.","F.A.T.A."
"51",51,197,"Ob146","13/10/2010","Datta Khel","North Waziristan",6,14,3,6,0,0,0,0,"http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob146","",197,"Datta Khel, Pakistan",32.9065015,69.7445791,"Pakistan","F.A.T.A.","F.A.T.A."
"52",52,200,"Ob149","18/10/2010","Datta Khel","North Waziristan",6,7,1,1,1,1,1,6,"http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob149","",200,"Datta Khel, Pakistan",32.9065015,69.7445791,"Pakistan","F.A.T.A.","F.A.T.A."
"53",53,209,"Ob158","07/11/2010","Datta Khel","North Waziristan",3,6,0,0,0,0,1,4,"http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob158","",209,"Datta Khel, Pakistan",32.9065015,69.7445791,"Pakistan","F.A.T.A.","F.A.T.A."
"54",54,234,"Ob183","01/01/2011","Datta Khel","North Waziristan",4,5,0,0,0,0,0,0,"http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob183","",234,"Datta Khel, Pakistan",32.9065015,69.7445791,"Pakistan","F.A.T.A.","F.A.T.A."
"55",55,246,"Ob195","09/03/2011","Datta Khel","North Waziristan",5,5,0,0,0,0,2,3,"http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob195","",246,"Datta Khel, Pakistan",32.9065015,69.7445791,"Pakistan","F.A.T.A.","F.A.T.A."
"56",56,252,"Ob201","16/03/2011","Datta Khel","North Waziristan",3,5,0,0,0,0,0,0,"http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob201","",252,"Datta Khel, Pakistan",32.9065015,69.7445791,"Pakistan","F.A.T.A.","F.A.T.A."
"57",57,253,"Ob202","17/03/2011","Datta Khel","North Waziristan",26,42,19,41,0,1,9,14,"http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob202","",253,"Datta Khel, Pakistan",32.9065015,69.7445791,"Pakistan","F.A.T.A.","F.A.T.A."
"58",58,258,"Ob207","12/05/2011","Datta Khel","North Waziristan",5,8,0,0,0,0,1,1,"http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob207","",258,"Datta Khel, Pakistan",32.9065015,69.7445791,"Pakistan","F.A.T.A.","F.A.T.A."
"59",59,281,"Ob230","12/07/2011","Datta Khel","North Waziristan",13,15,0,4,0,0,0,0,"http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob230","",281,"Datta Khel, Pakistan",32.9065015,69.7445791,"Pakistan","F.A.T.A.","F.A.T.A."
"60",60,282,"Ob231","12/07/2011","Datta Khel","North Waziristan",1,9,1,1,0,0,3,5,"http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob231","",282,"Datta Khel, Pakistan",32.9065015,69.7445791,"Pakistan","F.A.T.A.","F.A.T.A."
"61",61,308,"Ob257","12/01/2012","Datta Khel","North Waziristan",5,9,0,0,0,0,2,3,"http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob257","",308,"Datta Khel, Pakistan",32.9065015,69.7445791,"Pakistan","F.A.T.A.","F.A.T.A."
"62",62,365,"Ob314","10/03/2013","Datta Khel","North Waziristan",1,3,0,0,0,0,1,1,"http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob314","",365,"Datta Khel, Pakistan",32.9065015,69.7445791,"Pakistan","F.A.T.A.","F.A.T.A."
"63",63,367,"Ob316","14/04/2013","Datta Khel","North Waziristan",4,6,0,0,0,0,2,2,"http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob316","",367,"Datta Khel, Pakistan",32.9065015,69.7445791,"Pakistan","F.A.T.A.","F.A.T.A."
"64",64,398,"Ob347","09/10/2014","Datta Khel","North Waziristan",3,4,0,0,0,0,0,0,"http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob347","",398,"Datta Khel, Pakistan",32.9065015,69.7445791,"Pakistan","F.A.T.A.","F.A.T.A."
"65",65,403,"Ob352","20/11/2014","Datta Khel","North Waziristan",5,8,0,0,0,0,2,3,"http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob352","",403,"Datta Khel, Pakistan",32.9065015,69.7445791,"Pakistan","F.A.T.A.","F.A.T.A."
"66",66,406,"Ob355","20/12/2014","Datta Khel","North Waziristan",4,6,0,0,0,0,0,0,"http://www.thebureauinvestigates.com/2014/06/11/obama-2014-pakistan-drone-strikes/#Ob355","",406,"Datta Khel, Pakistan",32.9065015,69.7445791,"Pakistan","F.A.T.A.","F.A.T.A."
"67",67,241,"Ob190","23/01/2011","Razmak","North Waziristan",4,6,0,0,0,0,3,3,"http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob190","",241,"Razmak, Pakistan",32.6873366,69.8339608,"Pakistan","F.A.T.A.","F.A.T.A."
"68",68,188,"Ob137","02/10/2010","Asar Village","North Waziristan",8,10,0,0,0,0,2,4,"http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob137","",188,"Asar Village, Pakistan",24.9331589,69.8749193,"Pakistan","Sind","Mirpur Khas"
"69",69,303,"Ob252","03/11/2011","Sarai Darpa Khel, Miranshah","North Waziristan",2,3,0,0,0,0,3,3,"http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob252","",303,"Sarai Darpa Khel, Miranshah, Pakistan",32.988311,70.0517644,"Pakistan","F.A.T.A.","F.A.T.A."
"70",70,311,"Ob260","08/02/2012","Miranshah","North Waziristan",9,10,0,0,0,0,2,12,"http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob260","",311,"Miranshah, Pakistan",33.0018133,70.0670776,"Pakistan","F.A.T.A.","F.A.T.A."
"71",71,312,"Ob261","09/02/2012","Miranshah","North Waziristan",3,8,0,3,0,1,3,3,"http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob261","",312,"Miranshah, Pakistan",33.0018133,70.0670776,"Pakistan","F.A.T.A.","F.A.T.A."
"72",72,313,"Ob262","16/02/2012","Miranshah","North Waziristan",5,6,0,0,0,0,4,7,"http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob262","",313,"Miranshah, Pakistan",33.0018133,70.0670776,"Pakistan","F.A.T.A.","F.A.T.A."
"73",73,324,"Ob273","26/05/2012","Miranshah","North Waziristan",1,4,0,0,0,0,1,2,"http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob273","",324,"Miranshah, Pakistan",33.0018133,70.0670776,"Pakistan","F.A.T.A.","F.A.T.A."
"74",74,331,"Ob280","14/06/2012","Miranshah","North Waziristan",1,4,0,0,0,0,2,3,"http://www.thebureauinvestigates.com/2012/01/11/obama-2012-strikes/#Ob280","",331,"Miranshah, Pakistan",33.0018133,70.0670776,"Pakistan","F.A.T.A.","F.A.T.A."
"75",75,379,"Ob328","31/10/2013","Miranshah","North Waziristan",0,5,0,0,0,0,3,3,"http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob328","",379,"Miranshah, Pakistan",33.0018133,70.0670776,"Pakistan","F.A.T.A.","F.A.T.A."
"76",76,382,"Ob331","29/11/2013","Miranshah","North Waziristan",2,3,0,0,0,0,1,2,"http://www.thebureauinvestigates.com/2013/01/03/obama-2013-pakistan-drone-strikes/#Ob331","",382,"Miranshah, Pakistan",33.0018133,70.0670776,"Pakistan","F.A.T.A.","F.A.T.A."
"77",77,179,"Ob128","20/09/2010","Darazinda","North Waziristan",3,6,0,3,0,0,0,0,"http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob128","",179,"Darazinda, Pakistan",31.7055203,70.1318786,"Pakistan","F.A.T.A.","F.A.T.A."
"78",78,12,"B12","29/01/2008","Mir Ali","North Waziristan",12,15,4,6,2,3,1,2,"http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B12","",12,"Mir Ali, Pakistan",32.9693856,70.2771024,"Pakistan","F.A.T.A.","F.A.T.A."
"79",79,87,"Ob36","24/09/2009","Mir Ali","North Waziristan",10,12,0,12,0,0,5,5,"http://www.thebureauinvestigates.com/2011/08/10/obama-2009-strikes/#Ob36","",87,"Mir Ali, Pakistan",32.9693856,70.2771024,"Pakistan","F.A.T.A.","F.A.T.A."
"80",80,120,"Ob69","14/02/2010","Mir Ali","North Waziristan",5,7,0,0,0,0,4,4,"http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob69","",120,"Mir Ali, Pakistan",32.9693856,70.2771024,"Pakistan","F.A.T.A.","F.A.T.A."
"81",81,190,"Ob139","04/10/2010","Mir Ali","North Waziristan",5,9,0,3,0,0,2,2,"http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob139","",190,"Mir Ali, Pakistan",32.9693856,70.2771024,"Pakistan","F.A.T.A.","F.A.T.A."
"82",82,201,"Ob150","27/10/2010","Mir Ali","North Waziristan",2,5,0,0,0,0,1,1,"http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob150","",201,"Mir Ali, Pakistan",32.9693856,70.2771024,"Pakistan","F.A.T.A.","F.A.T.A."
"83",83,263,"Ob212","23/05/2011","Mir Ali","North Waziristan",4,7,0,0,0,0,2,2,"http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob212","",263,"Mir Ali, Pakistan",32.9693856,70.2771024,"Pakistan","F.A.T.A.","F.A.T.A."
"84",84,272,"Ob221","15/06/2011","Mir Ali","North Waziristan",5,6,5,6,0,0,0,0,"http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob221","",272,"Mir Ali, Pakistan",32.9693856,70.2771024,"Pakistan","F.A.T.A.","F.A.T.A."
"85",85,277,"Ob226","05/07/2011","Mir Ali","North Waziristan",4,6,0,3,0,2,5,5,"http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob226","",277,"Mir Ali, Pakistan",32.9693856,70.2771024,"Pakistan","F.A.T.A.","F.A.T.A."
"86",86,283,"Ob232","20/07/2011","Mir Ali","North Waziristan",4,4,0,0,0,0,2,2,"http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob232","",283,"Mir Ali, Pakistan",32.9693856,70.2771024,"Pakistan","F.A.T.A.","F.A.T.A."
"87",87,149,"Ob98","19/06/2010","Haider Khel","North Waziristan",16,17,0,0,0,0,10,18,"http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob98","",149,"Haider Khel, Pakistan",31.2698446,70.5361156,"Pakistan","Punjab","Dera Ghazi Khan"
"88",88,204,"Ob153","01/11/2010","Haider Khel","North Waziristan",5,6,0,0,0,0,2,2,"http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob153","",204,"Haider Khel, Pakistan",31.2698446,70.5361156,"Pakistan","Punjab","Dera Ghazi Khan"
"89",89,237,"Ob186","12/01/2011","Haider Khel","North Waziristan",3,6,0,0,0,0,2,15,"http://www.thebureauinvestigates.com/2011/08/10/obama-2011-strikes/#Ob186","",237,"Haider Khel, Pakistan",31.2698446,70.5361156,"Pakistan","Punjab","Dera Ghazi Khan"
"90",90,109,"Ob58","09/01/2010","Ismail Khel","North Waziristan",4,5,0,0,0,0,5,5,"http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob58","",109,"Ismail Khel, Pakistan",32.9262063,70.6470007,"Pakistan","N.W.F.P.","Bannu"
"91",91,203,"Ob152","28/10/2010","Ismail Khel","North Waziristan",4,8,0,4,0,0,0,0,"http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob152","",203,"Ismail Khel, Pakistan",32.9262063,70.6470007,"Pakistan","N.W.F.P.","Bannu"
"92",92,198,"Ob147","15/10/2010","Aziz Khel","North Waziristan",4,6,0,0,0,0,3,3,"http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob147","",198,"Aziz Khel, Pakistan",33.1120152,70.8689749,"Pakistan","N.W.F.P.","Kohat"
"93",93,217,"Ob166","28/11/2010","Hassan Khel","North Waziristan",0,4,0,0,0,0,0,0,"http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob166","",217,"Hassan Khel, Pakistan",32.4313255,70.9649928,"Pakistan","N.W.F.P.","Bannu"
"94",94,23,"B23","02/09/2008","Unknown","North Waziristan",0,10,0,0,0,0,0,1,"http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B23","",23,"Unknown, Pakistan",34.1067836,71.1057029,"Pakistan","F.A.T.A.","F.A.T.A."
"95",95,427,"T003","24/05/2017","Unknown","North Waziristan",2,3,0,0,0,0,0,0,"","",427,"Unknown, Pakistan",34.1067836,71.1057029,"Pakistan","F.A.T.A.","F.A.T.A."
"96",96,44,"B44","29/11/2008","Chashma","North Waziristan",2,3,0,3,0,0,2,3,"http://www.thebureauinvestigates.com/2011/08/10/the-bush-years-2004-2009/#B44","",44,"Chashma, Pakistan",32.4245298,71.4585231,"Pakistan","Punjab","Sargodha"
"97",97,159,"Ob108","21/08/2010","Qutab Khel","North Waziristan",4,6,0,4,0,0,2,2,"http://www.thebureauinvestigates.com/2011/08/10/obama-2010-strikes/#Ob108","",159,"Qutab Khel, Pakistan",33.1805388,71.5445821,"Pakistan","Punjab","Sargodha"
